Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demand,RAM_demand,cpi,time
40,1400,1.4,70,15304537,1757224242,1340534870,50,45004,1.4,90,0.76287069,20.7934227
40,1400,1.4,75,15986936,1757883113,1372029200,50,40460,1.4,90,0.780500814,18.87461267
40,1400,1.4,80,14906468,1757604516,1357440416,50,21344,1.4,90,0.772324151,17.89353741
40,1400,1.4,85,15336416,1755285594,1394688644,49,12612,1.4,90,0.794565083,16.13888451
40,1400,1.4,90,15074329,1756642240,1382733932,50,0,1.4,90,0.787146011,14.56358465
40,1400,1.6,70,15184178,1761063482,1369406298,50,44244,1.4,90,0.777601893,21.14646009
40,1400,1.6,75,15065424,1756788171,1340639347,50,40204,1.4,90,0.763119521,18.47733518
40,1400,1.6,80,14650351,1755295386,1373732142,50,39848,1.4,90,0.782621633,16.69348596
40,1400,1.6,85,14274988,1754930596,1370612707,49,11788,1.4,90,0.781006787,15.75847742
40,1400,1.6,90,15009788,1758814649,1369875634,50,0,1.4,90,0.778862989,14.23037175
40,1700,0.2,70,15895554,1763983329,1405855203,49,39096,1.4,90,0.796977602,34.74058628
40,1700,0.2,75,16720603,1764554087,1401560469,49,33428,1.4,90,0.794285921,34.35981594
40,1700,0.2,80,16195256,1763835375,1436984807,49,19808,1.4,90,0.814693269,32.53801408
40,1700,0.2,85,16530700,1763038176,1384150675,49,14020,1.4,90,0.785093989,31.28785689
40,1700,0.2,90,16488676,1763501876,1399069523,49,0,1.4,90,0.79334734,29.34037615
40,1700,0.4,70,16002627,1758315863,1404179111,49,47360,1.4,90,0.798593211,26.03250925
40,1700,0.4,75,15698361,1759117449,1387448451,49,36792,1.4,90,0.788718486,24.41410291
40,1700,0.4,80,15852344,1759895018,1388569097,50,20316,1.4,90,0.789006778,23.37167252
40,1700,0.4,85,15013619,1757694946,1365111893,49,15884,1.4,90,0.776648927,20.35317097
40,1700,0.4,90,15455696,1756936920,1382902701,50,0,1.4,90,0.787110047,19.82590432
40,1700,0.6,70,15122808,1758777168,1367185959,50,45524,1.4,90,0.7773503,22.65556409
40,1700,0.6,75,15136213,1756753668,1365938466,50,37292,1.4,90,0.777535571,20.35841819
40,1700,0.6,80,15348471,1756943913,1370026353,50,38668,1.4,90,0.779778081,18.1897607
40,1700,0.6,85,15604680,1756125830,1374857084,50,27148,1.4,90,0.782892126,18.23047688
40,1700,0.6,90,14648970,1758213987,1380931849,50,0,1.4,90,0.785417395,16.6622141
40,1700,0.8,70,15045755,1757775389,1368700149,50,43460,1.4,90,0.778654746,22.03915387
40,1700,0.8,75,15532354,1757695328,1392252992,50,41644,1.4,90,0.792090057,19.3830434
40,1700,0.8,80,14385291,1756475414,1358823308,51,39948,1.4,90,0.773607929,17.04373641
40,1700,0.8,85,15210434,1758006242,1368748702,50,8716,1.4,90,0.778580115,17.13556106
40,1700,0.8,90,15190115,1755626500,1413755479,50,0,1.4,90,0.805271212,15.06297177
40,1700,1,70,14859452,1757837416,1356424814,51,50124,1.4,90,0.771644068,20.7284407
40,1700,1,75,15042780,1756081343,1388782488,50,39868,1.4,90,0.790841776,18.020705
40,1700,1,80,15038549,1755350155,1380340148,50,19804,1.4,90,0.786361709,17.74830583
40,1700,1,85,15369828,1755415554,1394796038,50,36864,1.4,90,0.794567437,15.25284124
40,1700,1,90,14482977,1755922895,1364088335,50,0,1.4,90,0.776849792,14.16700988
40,1700,1.2,70,14537138,1761054672,1340549954,51,42164,1.4,90,0.761219953,20.44992007
40,1700,1.2,75,15564984,1757886625,1367387722,50,36108,1.4,90,0.77785888,18.78715503
40,1700,1.2,80,14560447,1753920125,1353903670,50,39180,1.4,90,0.771930062,15.73409276
40,1700,1.2,85,14593629,1756502359,1359230253,51,9540,1.4,90,0.773827741,15.52533161
40,1700,1.2,90,14112306,1754634693,1331585781,50,0,1.4,90,0.758896303,13.86318297
40,1700,1.4,70,15266711,1759491485,1343817483,50,43444,1.4,90,0.763753331,19.87981493
40,1700,1.4,75,14665146,1758498444,1352010452,50,39948,1.4,90,0.768843701,17.67174772
40,1700,1.4,80,14930598,1755284211,1390946504,50,39080,1.4,90,0.792433781,15.59468138
40,1700,1.4,85,14779076,1757404025,1350073180,50,15180,1.4,90,0.768220148,15.8989828
40,1700,1.4,90,14243074,1755006189,1347979124,50,0,1.4,90,0.768076564,13.19429793
40,1700,1.6,70,14987387,1757862705,1360057006,50,43520,1.4,90,0.773699221,20.42281149
40,1700,1.6,75,15379176,1755672320,1408241697,50,46808,1.4,90,0.802109643,17.44652194
40,1700,1.6,80,14943712,1758801237,1385605656,51,20328,1.4,90,0.787812532,16.70071163
40,1700,1.6,85,13865834,1756108693,1345320245,51,15616,1.4,90,0.766080283,14.97757979
40,1700,1.6,90,14171237,1754201796,1318906162,51,0,1.4,90,0.751855439,12.97064693
40,2000,0.2,70,16708458,1763689806,1435686384,50,46532,1.4,90,0.814024314,32.66631775
40,2000,0.2,75,15605933,1761708694,1379940708,49,26744,1.4,90,0.783296758,31.91778863
40,2000,0.2,80,15280683,1759907820,1392746939,49,19980,1.4,90,0.791374936,29.5498134
40,2000,0.2,85,16775706,1763281064,1453441240,50,13068,1.4,90,0.824282226,27.71098152
40,2000,0.2,90,15168846,1763172067,1369376022,50,0,1.4,90,0.776654785,26.29051769
40,2000,0.4,70,14893500,1757173066,1356802889,50,39692,1.4,90,0.772150971,23.80636805
40,2000,0.4,75,15458761,1759604897,1386098991,50,35748,1.4,90,0.787733083,24.85677139
40,2000,0.4,80,15259378,1758476555,1399714453,50,20068,1.4,90,0.795981299,21.21931141
40,2000,0.4,85,15383645,1757399902,1365342822,50,19724,1.4,90,0.776910719,19.33614304
40,2000,0.4,90,14871982,1755838044,1405668827,50,0,1.4,90,0.800568613,18.10835204
40,2000,0.6,70,14950883,1757336520,1375303209,50,47316,1.4,90,0.782606628,21.48014793
40,2000,0.6,75,15214026,1758755163,1379201734,50,38068,1.4,90,0.784192003,20.33135516
40,2000,0.6,80,15348863,1757301183,1412328450,51,21608,1.4,90,0.803691743,19.21978261
40,2000,0.6,85,14252167,1756436591,1367954414,50,33036,1.4,90,0.778823683,15.6970973
40,2000,0.6,90,14186406,1758124812,1385882928,50,0,1.4,90,0.788273346,15.36293857
40,2000,0.8,70,14989734,1758532052,1361002016,51,44800,1.4,90,0.773942115,20.22069336
40,2000,0.8,75,14983537,1756373673,1381167812,50,39180,1.4,90,0.786374695,18.25878563
40,2000,0.8,80,13957707,1755661958,1338938428,51,23820,1.4,90,0.762640223,17.36839616
40,2000,0.8,85,14247979,1755116722,1343249340,51,28428,1.4,90,0.765333338,15.6195861
40,2000,0.8,90,14390597,1755957999,1386112725,51,0,1.4,90,0.789376925,13.95707581
40,2000,1,70,14470001,1758046770,1362201649,50,45312,1.4,90,0.774838117,19.46016584
40,2000,1,75,15152407,1755924395,1400301825,51,35596,1.4,90,0.797472732,16.5097733
40,2000,1,80,15314975,1754567744,1391239911,51,24708,1.4,90,0.792924591,16.32676708
40,2000,1,85,14318060,1754303664,1405743444,51,17048,1.4,90,0.801311354,14.75835928
40,2000,1,90,14255075,1760372327,1432818667,50,0,1.4,90,0.813929329,13.06936012
40,2000,1.2,70,14907769,1756615701,1370772234,51,46792,1.4,90,0.78034839,19.07952048
40,2000,1.2,75,14763233,1755774632,1360519931,52,38400,1.4,90,0.77488301,17.14846424
40,2000,1.2,80,14731744,1756584286,1402353858,51,24320,1.4,90,0.798341343,16.06447033
40,2000,1.2,85,14082379,1753494964,1362165764,50,17312,1.4,90,0.776829014,14.7529497
40,2000,1.2,90,13758694,1755943223,1355869847,50,268,1.4,90,0.772160415,12.61044757
40,2000,1.4,70,14477433,1756165918,1368234890,51,44544,1.4,90,0.77910343,18.66270663
40,2000,1.4,75,15324591,1757452159,1404073645,51,39436,1.4,90,0.798925671,16.62456183
40,2000,1.4,80,13805772,1754105102,1350320932,51,34816,1.4,90,0.769806171,14.43622093
40,2000,1.4,85,14760107,1755882257,1393345106,51,15728,1.4,90,0.793529919,14.36133825
40,2000,1.4,90,14186321,1753084044,1385135632,51,780,1.4,90,0.79011365,12.17596342
40,2000,1.6,70,15523139,1758351025,1477476811,51,45056,1.4,90,0.840262718,18.97568361
40,2000,1.6,75,15170073,1755788945,1404233195,51,39616,1.4,90,0.799773343,17.12796601
40,2000,1.6,80,14609875,1756572688,1366005160,52,38156,1.4,90,0.777653649,14.21275459
40,2000,1.6,85,15244405,1756486494,1404862504,51,12488,1.4,90,0.799814009,14.71692616
40,2000,1.6,90,14321120,1756519783,1364932957,51,12,1.4,90,0.777066658,12.33948778
40,2300,0.2,70,15934658,1762387074,1439105437,50,43192,1.4,90,0.816566042,30.53764399
40,2300,0.2,75,15651309,1761020339,1414787831,50,28288,1.4,90,0.803390966,28.45698079
40,2300,0.2,80,16078473,1763069935,1502348307,50,16508,1.4,90,0.852120655,27.51301986
40,2300,0.2,85,14970001,1761604268,1443153994,50,16384,1.4,90,0.819227122,25.38328571
40,2300,0.2,90,15143589,1760699972,1390263673,50,0,1.4,90,0.789608505,23.99828592
40,2300,0.4,70,14806232,1757650775,1380603298,51,48068,1.4,90,0.785482143,23.03191793
40,2300,0.4,75,15025783,1758450809,1377598920,51,33180,1.4,90,0.783416239,21.67838325
40,2300,0.4,80,14742797,1760010197,1382892063,51,22652,1.4,90,0.785729574,20.71166828
40,2300,0.4,85,14341107,1757945817,1365956246,50,12288,1.4,90,0.7770184,18.37444561
40,2300,0.4,90,16011779,1756556385,1435080275,51,0,1.4,90,0.816985032,16.94371537
40,2300,0.6,70,14710055,1759036260,1401433722,51,48584,1.4,90,0.79670542,21.19423073
40,2300,0.6,75,14438502,1756783813,1417306233,52,38400,1.4,90,0.806761892,19.64041333
40,2300,0.6,80,14741829,1754768604,1380391522,52,32416,1.4,90,0.786651595,17.47424201
40,2300,0.6,85,14093398,1763268000,1387832177,52,5932,1.4,90,0.787079546,16.73682046
40,2300,0.6,90,15032964,1754969882,1443629208,51,0,1.4,90,0.822594862,14.16092255
40,2300,0.8,70,14540243,1760187910,1427902058,52,48640,1.4,90,0.811221376,19.95505859
40,2300,0.8,75,14253917,1759220919,1371691661,52,43204,1.4,90,0.77971541,17.78228526
40,2300,0.8,80,14327977,1754803866,1403049705,52,23552,1.4,90,0.799547877,16.27506869
40,2300,0.8,85,14829765,1755973979,1428248986,52,17676,1.4,90,0.813365689,14.67897461
40,2300,0.8,90,13746534,1756061528,1397772541,52,0,1.4,90,0.79597014,13.15280538
40,2300,1,70,14768085,1756601760,1399366238,53,47572,1.4,90,0.796632606,18.84885625
40,2300,1,75,15096261,1758627615,1429932207,52,40388,1.4,90,0.813095504,17.01786219
40,2300,1,80,14462552,1754972049,1403060842,52,25724,1.4,90,0.7994776,15.64592026
40,2300,1,85,14486844,1755839548,1425983691,50,36620,1.4,90,0.812137813,13.15845329
40,2300,1,90,14403263,1753532335,1433472301,51,0,1.4,90,0.817476971,12.39468535
40,2300,1.2,70,15392563,1758383924,1491146053,51,45272,1.4,90,0.848020749,19.09237455
40,2300,1.2,75,14131546,1756466374,1368680734,51,36108,1.4,90,0.779223989,16.30801036
40,2300,1.2,80,14073447,1754113319,1446505544,52,38156,1.4,90,0.824636315,13.40409259
40,2300,1.2,85,13718649,1754689072,1354564039,51,37132,1.4,90,0.771968128,13.06255173
40,2300,1.2,90,13123395,1752627379,1355122456,51,0,1.4,90,0.773194846,11.85466862
40,2300,1.4,70,14813919,1767067599,1536053945,52,48844,1.4,90,0.869267223,18.27025276
40,2300,1.4,75,15056434,1756061751,1457637482,52,41156,1.4,90,0.830060493,16.34207515
40,2300,1.4,80,13605333,1754643876,1353068093,51,24688,1.4,90,0.771135449,14.95246859
40,2300,1.4,85,13385268,1757118978,1376777947,51,19316,1.4,90,0.783542813,13.79018811
40,2300,1.4,90,13492798,1754790101,1350070967,51,0,1.4,90,0.769363223,11.64764687
40,2300,1.6,70,14599748,1758214077,1425491056,51,48588,1.4,90,0.810760802,18.56758167
40,2300,1.6,75,14372086,1755752520,1395852277,52,41672,1.4,90,0.795016531,15.4141882
40,2300,1.6,80,14122031,1755357702,1376209156,53,38412,1.4,90,0.784004966,13.42714656
40,2300,1.6,85,13838564,1753430452,1392618506,51,37132,1.4,90,0.794225117,12.86277488
40,2300,1.6,90,13723140,1755292981,1457076298,51,16140,1.4,90,0.830104327,11.58517399
40,2600,0.2,70,15873192,1761148676,1490007265,50,48844,1.4,90,0.846042861,28.4170424
40,2600,0.2,75,16316245,1761765925,1477183631,50,40380,1.4,90,0.838467591,26.70083522
40,2600,0.2,80,15486116,1759886444,1425749773,49,22128,1.4,90,0.810137369,25.43366106
40,2600,0.2,85,15520080,1759218990,1426869657,50,15756,1.4,90,0.811081318,23.20547907
40,2600,0.2,90,15844624,1760920718,1463285059,50,6924,1.4,90,0.830977252,22.11592565
40,2600,0.4,70,14863701,1758749635,1467125219,50,48328,1.4,90,0.834186509,22.68363236
40,2600,0.4,75,14714083,1757510154,1414817229,50,40896,1.4,90,0.805012265,20.14651407
40,2600,0.4,80,14348333,1756985501,1438196840,51,38656,1.4,90,0.81855931,18.56888025
40,2600,0.4,85,14430513,1756128924,1414696749,50,14860,1.4,90,0.805576817,16.2069137
40,2600,0.4,90,14341547,1755652941,1410776980,50,0,1.4,90,0.803562565,15.54311042
40,2600,0.6,70,14642872,1763928144,1445438741,51,55016,1.4,90,0.819443097,19.64133407
40,2600,0.6,75,15097605,1757198851,1443254120,51,40640,1.4,90,0.82133796,17.79735148
40,2600,0.6,80,14792777,1756794256,1399477068,51,23412,1.4,90,0.796608404,17.15707243
40,2600,0.6,85,13643053,1755653031,1385722415,51,15872,1.4,90,0.789291728,15.40726268
40,2600,0.6,90,14033218,1755030554,1456284870,50,0,1.4,90,0.829777503,13.30810866
40,2600,0.8,70,14864031,1757223577,1446968687,51,45024,1.4,90,0.823440287,18.48561102
40,2600,0.8,75,14510839,1757234585,1405523893,52,39868,1.4,90,0.799849892,16.65477333
40,2600,0.8,80,14551420,1756666542,1414945239,51,38584,1.4,90,0.80547173,16.57232281
40,2600,0.8,85,14238021,1753160963,1408713887,51,25100,1.4,90,0.80352798,13.40718872
40,2600,0.8,90,14253366,1753061112,1392292819,52,32524,1.4,90,0.794206665,12.22389311
40,2600,1,70,14349253,1755755684,1441156957,51,50924,1.4,90,0.82081862,18.17744234
40,2600,1,75,14433098,1755660133,1389177652,50,42184,1.4,90,0.791256591,16.14221009
40,2600,1,80,14498829,1757531236,1434028334,50,37644,1.4,90,0.815933341,14.09088445
40,2600,1,85,13847508,1759634780,1402923166,51,36364,1.4,90,0.79728088,12.83686718
40,2600,1,90,13820006,1752978052,1377514802,51,17420,1.4,90,0.785814061,11.61059265
40,2600,1.2,70,14282228,1755158697,1398212312,51,50900,1.4,90,0.796630136,18.07556166
40,2600,1.2,75,14767943,1755180168,1446121531,51,40376,1.4,90,0.823916289,15.94618821
40,2600,1.2,80,14404146,1754169079,1408197661,50,37900,1.4,90,0.802771909,13.15301954
40,2600,1.2,85,14022887,1754815998,1407635928,50,37132,1.4,90,0.802155855,12.62826405
40,2600,1.2,90,13737391,1755151434,1398329646,51,39180,1.4,90,0.796700284,11.30858356
40,2600,1.4,70,14486828,1758227011,1417833219,51,52736,1.4,90,0.806399407,17.30330815
40,2600,1.4,75,14468921,1754110826,1410527742,51,35852,1.4,90,0.804126924,15.07831809
40,2600,1.4,80,13949876,1754351059,1398449099,51,37900,1.4,90,0.797131846,12.8744961
40,2600,1.4,85,14504117,1756855326,1427740900,52,37132,1.4,90,0.812668453,12.43206042
40,2600,1.4,90,13147079,1755354478,1367725212,52,38156,1.4,90,0.779173226,10.9657074
40,2600,1.6,70,14202679,1756362066,1382936625,52,49876,1.4,90,0.787386981,17.15183463
40,2600,1.6,75,14206769,1757690920,1406524041,52,33792,1.4,90,0.800211246,16.01441297
40,2600,1.6,80,13719524,1754706487,1397595605,52,38156,1.4,90,0.796483979,12.68222321
40,2600,1.6,85,13870548,1755256227,1418847692,52,36864,1.4,90,0.808342207,12.17722776
40,2600,1.6,90,13870638,1755843892,1473154498,51,25356,1.4,90,0.839000839,11.13944868
80,900,0.2,70,21690022,1791292582,1430032732,48,41664,1.4,90,0.798324487,77.05200196
80,900,0.2,75,21404399,1790218477,1434336298,47,31108,1.4,90,0.801207404,77.19043503
80,900,0.2,80,21694140,1788254694,1439411091,48,15176,1.4,90,0.804925101,75.73697999
80,900,0.2,85,21420478,1787594016,1435143792,47,8972,1.4,90,0.80283542,73.5168673
80,900,0.2,90,20533478,1788715107,1417314973,47,0,1.4,90,0.792364848,71.63692029
80,900,0.4,70,18029176,1775435381,1363518647,48,44500,1.4,90,0.767991143,46.72133906
80,900,0.4,75,18209080,1774810182,1386696065,48,25468,1.4,90,0.781320774,45.20540942
80,900,0.4,80,17780019,1776627512,1381421301,48,19560,1.4,90,0.777552577,44.01391036
80,900,0.4,85,17979357,1777142322,1359729032,48,7260,1.4,90,0.765121068,42.41000209
80,900,0.4,90,17887426,1772883342,1400238897,48,9740,1.4,90,0.789808818,40.55318789
80,900,0.6,70,17511840,1773501976,1353378700,48,44240,1.4,90,0.763110906,37.42750401
