Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,2800,0.4,70,13570468,1742282844,1345982129,27.8,57600,1.4,90,0.772539392,12.39153655
40,2800,0.4,75,13026106,1742225020,1333283372,27.8,23656,1.4,90,0.765276217,11.03054093
40,2800,0.4,80,13533739,1741847296,1342229246,27.8,10508,1.4,90,0.770578023,11.09820353
40,2800,0.4,85,13557862,1743432786,1342343213,27.8,5388,1.4,90,0.769942623,11.05691666
40,2800,0.4,90,13038725,1742458548,1333551173,27.8,0,1.4,90,0.765327344,10.5647417
40,2800,0.6,70,13143126,1741458218,1333517722,27.8,38052,1.4,90,0.765747756,9.898796688
40,2800,0.6,75,13145988,1741919130,1332570885,27.8,17164,1.4,90,0.765001579,9.269262786
40,2800,0.6,80,13046090,1744642753,1330444513,27.8,30364,1.4,90,0.762588507,9.350542161
40,2800,0.6,85,13217673,1743279727,1345330631,27.8,5388,1.4,90,0.771723901,9.527199697
40,2800,0.6,90,12950576,1741976609,1328679644,27.8,0,1.4,90,0.762742529,8.775421436
40,2800,0.8,70,12762638,1740644530,1330191936,27.8,47596,1.4,90,0.764195051,9.683589223
40,2800,0.8,75,12532939,1740817483,1331450353,27.8,18296,1.4,90,0.764842016,8.602011199
40,2800,0.8,80,13482490,1739275044,1339274479,27.8,10764,1.4,90,0.770018798,8.4306192
40,2800,0.8,85,12863906,1742235051,1329054930,27.8,8500,1.4,90,0.762844789,9.554668198
40,2800,0.8,90,12882651,1741538856,1335036060,27.8,0,1.4,90,0.766584136,7.776860992
40,2800,1,70,12647171,1741525224,1331714117,27.8,40460,1.4,90,0.764682646,8.358776721
40,2800,1,75,13022861,1742410865,1334366352,27.8,32652,1.4,90,0.765816134,8.074338415
40,2800,1,80,13299166,1742542035,1338490928,27.8,10764,1.4,90,0.768125475,8.179325968
40,2800,1,85,12777608,1740484310,1336435873,27.8,8764,1.4,90,0.76785287,8.398138636
40,2800,1,90,12999108,1745966921,1333763749,27.8,0,1.4,90,0.763911236,7.463964745
40,2800,1.2,70,12965813,1743353432,1340048648,27.8,41228,1.4,90,0.768661491,8.736592995
40,2800,1.2,75,13024284,1741404419,1331411934,27.8,36528,1.4,90,0.764562166,8.270429052
40,2800,1.2,80,12932004,1742090937,1336516605,27.8,24432,1.4,90,0.767191067,8.104613022
40,2800,1.2,85,12592912,1741874263,1332761990,27.8,23820,1.4,90,0.765130996,7.586501501
40,2800,1.2,90,13056780,1740851277,1332569997,27.8,0,1.4,90,0.765470327,7.100381462
40,2800,1.4,70,13023435,1744169751,1337915532,27.8,45020,1.4,90,0.767078738,9.044437744
40,2800,1.4,75,12661812,1742643135,1334281922,27.8,41132,1.4,90,0.765665612,7.592315965
40,2800,1.4,80,13202701,1740892201,1336038879,27.8,22416,1.4,90,0.767444922,7.764932347
40,2800,1.4,85,13585702,1741137683,1341117989,27.8,25980,1.4,90,0.770253842,8.410690128
